domain,problem,heuristics,strategy,solved,time,timeout,plan_length,expansions,memory_kb
blocks,task01,"hff,hadd",alternation,True,0.2411816120147705,False,10,12,
blocks,task02,"hff,hadd",alternation,True,0.22838282585144043,False,10,14,
blocks,task03,"hff,hadd",alternation,True,0.23913240432739258,False,6,10,
blocks,task04,"hff,hadd",alternation,True,0.22975373268127441,False,12,18,
blocks,task05,"hff,hadd",alternation,True,0.2805194854736328,False,14,24,
blocks,task06,"hff,hadd",alternation,True,0.2840123176574707,False,20,33,
blocks,task07,"hff,hadd",alternation,True,0.36223554611206055,False,18,29,
blocks,task08,"hff,hadd",alternation,True,0.40616464614868164,False,14,25,
blocks,task09,"hff,hadd",alternation,True,0.5954365730285645,False,28,51,
blocks,task10,"hff,hadd",alternation,True,0.4198417663574219,False,22,39,
blocks,task11,"hff,hadd",alternation,True,0.8404500484466553,False,44,208,
blocks,task12,"hff,hadd",alternation,True,0.5328536033630371,False,44,160,
blocks,task13,"hff,hadd",alternation,True,0.5893628597259521,False,46,166,
blocks,task14,"hff,hadd",alternation,True,0.3907647132873535,False,28,77,
blocks,task15,"hff,hadd",alternation,True,0.37827205657958984,False,30,65,
blocks,task16,"hff,hadd",alternation,True,0.674299955368042,False,48,130,
blocks,task17,"hff,hadd",alternation,True,2.167127847671509,False,64,603,
blocks,task18,"hff,hadd",alternation,True,1.0924217700958252,False,48,310,
blocks,task19,"hff,hadd",alternation,True,2.73109769821167,False,48,672,
blocks,task20,"hff,hadd",alternation,True,1.7271833419799805,False,60,338,
blocks,task21,"hff,hadd",alternation,True,1.3877856731414795,False,56,269,
blocks,task22,"hff,hadd",alternation,True,0.9224872589111328,False,50,151,
blocks,task23,"hff,hadd",alternation,True,1.1637625694274902,False,66,232,
blocks,task24,"hff,hadd",alternation,True,2.6265602111816406,False,76,398,
blocks,task25,"hff,hadd",alternation,True,37.12147092819214,False,128,7210,
blocks,task26,"hff,hadd",alternation,True,3.5177085399627686,False,96,779,
blocks,task27,"hff,hadd",alternation,True,12.49544072151184,False,96,2567,
blocks,task28,"hff,hadd",alternation,True,5.108636140823364,False,112,1046,
blocks,task29,"hff,hadd",alternation,True,3.929255723953247,False,84,685,
blocks,task30,"hff,hadd",alternation,True,4.895497798919678,False,102,623,
blocks,task31,"hff,hadd",alternation,True,8.883368253707886,False,154,1436,
blocks,task32,"hff,hadd",alternation,True,11.31406283378601,False,128,1728,
blocks,task33,"hff,hadd",alternation,True,16.01469111442566,False,114,2153,
blocks,task34,"hff,hadd",alternation,True,122.02358078956604,False,160,16121,
blocks,task35,"hff,hadd",alternation,True,84.18267726898193,False,142,9450,
blocks,task01,"hmax,lmcut",alternation,True,0.19785594940185547,False,6,13,
blocks,task02,"hmax,lmcut",alternation,True,0.18507146835327148,False,10,14,
blocks,task03,"hmax,lmcut",alternation,True,0.17675328254699707,False,6,10,
blocks,task04,"hmax,lmcut",alternation,True,0.19920134544372559,False,12,22,
blocks,task05,"hmax,lmcut",alternation,True,0.2795548439025879,False,10,21,
blocks,task06,"hmax,lmcut",alternation,True,0.28041911125183105,False,16,37,
blocks,task07,"hmax,lmcut",alternation,True,0.6810152530670166,False,14,26,
blocks,task08,"hmax,lmcut",alternation,True,0.31810951232910156,False,10,17,
blocks,task09,"hmax,lmcut",alternation,True,0.5402374267578125,False,32,86,
blocks,task10,"hmax,lmcut",alternation,True,0.3748350143432617,False,22,36,
blocks,task11,"hmax,lmcut",alternation,True,0.549074649810791,False,26,67,
blocks,task12,"hmax,lmcut",alternation,True,0.42751550674438477,False,22,48,
blocks,task13,"hmax,lmcut",alternation,True,1.8132460117340088,False,18,125,
blocks,task14,"hmax,lmcut",alternation,True,1.8223867416381836,False,22,135,
blocks,task15,"hmax,lmcut",alternation,True,0.541968584060669,False,18,45,
blocks,task16,"hmax,lmcut",alternation,True,3.291694402694702,False,30,151,
blocks,task17,"hmax,lmcut",alternation,True,10.53141188621521,False,36,440,
blocks,task18,"hmax,lmcut",alternation,True,1.902195930480957,False,26,95,
blocks,task19,"hmax,lmcut",alternation,True,11.070510149002075,False,44,485,
blocks,task20,"hmax,lmcut",alternation,True,8.720678567886353,False,46,328,
blocks,task21,"hmax,lmcut",alternation,True,6.3187501430511475,False,44,245,
blocks,task22,"hmax,lmcut",alternation,True,10.520625829696655,False,66,290,
blocks,task23,"hmax,lmcut",alternation,True,10.28679347038269,False,50,299,
blocks,task24,"hmax,lmcut",alternation,True,44.60305690765381,False,70,1199,
blocks,task25,"hmax,lmcut",alternation,True,82.41103553771973,False,94,1756,
blocks,task26,"hmax,lmcut",alternation,True,16.602837324142456,False,58,291,
blocks,task27,"hmax,lmcut",alternation,False,300,True,,,
blocks,task28,"hmax,lmcut",alternation,False,300,True,,,
blocks,task29,"hmax,lmcut",alternation,True,126.59992218017578,False,76,885,
blocks,task30,"hmax,lmcut",alternation,False,300,True,,,
blocks,task31,"hmax,lmcut",alternation,False,300,True,,,
blocks,task32,"hmax,lmcut",alternation,False,300,True,,,
blocks,task33,"hmax,lmcut",alternation,False,300,True,,,
blocks,task34,"hmax,lmcut",alternation,False,300,True,,,
blocks,task35,"hmax,lmcut",alternation,False,300,True,,,
blocks,task01,"hff,landmark",alternation,True,0.1939561367034912,False,10,12,
blocks,task02,"hff,landmark",alternation,True,0.16989803314208984,False,10,15,
blocks,task03,"hff,landmark",alternation,True,0.1622145175933838,False,6,9,
blocks,task04,"hff,landmark",alternation,True,0.22993779182434082,False,12,17,
blocks,task05,"hff,landmark",alternation,True,0.18412208557128906,False,28,78,
blocks,task06,"hff,landmark",alternation,True,0.18743562698364258,False,24,63,
blocks,task07,"hff,landmark",alternation,True,0.19269084930419922,False,12,28,
blocks,task08,"hff,landmark",alternation,True,0.19172358512878418,False,14,36,
blocks,task09,"hff,landmark",alternation,True,0.18904876708984375,False,24,39,
blocks,task10,"hff,landmark",alternation,True,0.1958780288696289,False,22,30,
blocks,task11,"hff,landmark",alternation,True,0.2171022891998291,False,30,78,
blocks,task12,"hff,landmark",alternation,True,0.22455549240112305,False,30,56,
blocks,task13,"hff,landmark",alternation,True,0.32190370559692383,False,34,144,
blocks,task14,"hff,landmark",alternation,True,0.37577104568481445,False,60,246,
blocks,task15,"hff,landmark",alternation,True,0.40463733673095703,False,34,244,
blocks,task16,"hff,landmark",alternation,True,0.5842030048370361,False,60,330,
blocks,task17,"hff,landmark",alternation,True,0.6042912006378174,False,56,369,
blocks,task18,"hff,landmark",alternation,True,0.567753791809082,False,48,323,
blocks,task19,"hff,landmark",alternation,True,1.423935890197754,False,44,925,
blocks,task20,"hff,landmark",alternation,True,0.6223969459533691,False,60,247,
blocks,task21,"hff,landmark",alternation,True,1.8560967445373535,False,56,1222,
blocks,task22,"hff,landmark",alternation,True,0.5205099582672119,False,34,130,
blocks,task23,"hff,landmark",alternation,True,0.7288064956665039,False,58,262,
blocks,task24,"hff,landmark",alternation,True,0.662423849105835,False,66,219,
blocks,task25,"hff,landmark",alternation,True,2.3211376667022705,False,86,1002,
blocks,task26,"hff,landmark",alternation,True,0.9304938316345215,False,64,207,
blocks,task27,"hff,landmark",alternation,True,49.82814073562622,False,136,23487,
blocks,task28,"hff,landmark",alternation,True,2.03901743888855,False,72,557,
blocks,task29,"hff,landmark",alternation,True,2.162210464477539,False,60,379,
blocks,task30,"hff,landmark",alternation,True,2.708878517150879,False,86,603,
blocks,task31,"hff,landmark",alternation,True,77.2331211566925,False,154,25935,
blocks,task32,"hff,landmark",alternation,True,5.496919870376587,False,98,1365,
blocks,task33,"hff,landmark",alternation,True,66.13147044181824,False,110,19303,
blocks,task34,"hff,landmark",alternation,True,20.249717473983765,False,156,5958,
blocks,task35,"hff,landmark",alternation,True,90.72818374633789,False,136,19014,
blocks,task01,"landmark,lmcut",alternation,True,0.21751976013183594,False,10,12,
blocks,task02,"landmark,lmcut",alternation,True,0.17691373825073242,False,10,13,
blocks,task03,"landmark,lmcut",alternation,True,0.17940950393676758,False,6,9,
blocks,task04,"landmark,lmcut",alternation,True,0.21935486793518066,False,12,17,
blocks,task05,"landmark,lmcut",alternation,True,0.2766568660736084,False,16,60,
blocks,task06,"landmark,lmcut",alternation,True,0.2564573287963867,False,16,47,
blocks,task07,"landmark,lmcut",alternation,True,0.31035733222961426,False,24,44,
