domain,problem,heuristics,strategy,solved,time,timeout,plan_length,expansions,memory_kb
blocks,task01,"hff,hadd",max,True,0.1885359287261963,False,10,13,
blocks,task02,"hff,hadd",max,True,0.16361021995544434,False,10,14,
blocks,task03,"hff,hadd",max,True,0.15512800216674805,False,6,9,
blocks,task04,"hff,hadd",max,True,0.2042226791381836,False,18,45,
blocks,task05,"hff,hadd",max,True,0.1786642074584961,False,14,19,
blocks,task06,"hff,hadd",max,True,0.21235251426696777,False,20,39,
blocks,task07,"hff,hadd",max,True,0.2607741355895996,False,32,75,
blocks,task08,"hff,hadd",max,True,0.23805689811706543,False,14,28,
blocks,task09,"hff,hadd",max,True,0.21128511428833008,False,28,43,
blocks,task10,"hff,hadd",max,True,0.24481701850891113,False,22,33,
blocks,task11,"hff,hadd",max,True,0.4010930061340332,False,32,80,
blocks,task12,"hff,hadd",max,True,0.38291335105895996,False,40,104,
blocks,task13,"hff,hadd",max,True,0.501206636428833,False,38,103,
blocks,task14,"hff,hadd",max,True,0.4358842372894287,False,40,94,
blocks,task15,"hff,hadd",max,True,0.48747825622558594,False,32,111,
blocks,task16,"hff,hadd",max,True,0.8047940731048584,False,68,176,
blocks,task17,"hff,hadd",max,True,1.2173633575439453,False,64,245,
blocks,task18,"hff,hadd",max,True,0.6530227661132812,False,48,160,
blocks,task19,"hff,hadd",max,True,0.727832555770874,False,46,130,
blocks,task20,"hff,hadd",max,True,1.1249887943267822,False,68,188,
blocks,task21,"hff,hadd",max,True,1.388915777206421,False,88,306,
blocks,task22,"hff,hadd",max,True,1.3507044315338135,False,58,211,
blocks,task23,"hff,hadd",max,True,3.2885382175445557,False,104,559,
blocks,task24,"hff,hadd",max,True,1.5053362846374512,False,64,241,
blocks,task25,"hff,hadd",max,True,3.86230731010437,False,94,549,
blocks,task26,"hff,hadd",max,True,4.7412779331207275,False,94,447,
blocks,task27,"hff,hadd",max,True,11.925569772720337,False,90,1042,
blocks,task28,"hff,hadd",max,True,3.2127761840820312,False,74,375,
blocks,task29,"hff,hadd",max,True,12.892075061798096,False,134,1245,
blocks,task30,"hff,hadd",max,True,9.776655435562134,False,112,857,
blocks,task31,"hff,hadd",max,True,12.65066909790039,False,152,1456,
blocks,task32,"hff,hadd",max,True,8.345348596572876,False,116,549,
blocks,task33,"hff,hadd",max,True,16.695199728012085,False,138,1109,
blocks,task34,"hff,hadd",max,True,22.31154775619507,False,142,1530,
blocks,task35,"hff,hadd",max,True,18.48301911354065,False,136,821,
blocks,task01,"hmax,lmcut",max,True,0.21564483642578125,False,6,8,
blocks,task02,"hmax,lmcut",max,True,0.1829681396484375,False,10,11,
blocks,task03,"hmax,lmcut",max,True,0.1678149700164795,False,6,7,
blocks,task04,"hmax,lmcut",max,True,0.1832282543182373,False,12,15,
blocks,task05,"hmax,lmcut",max,True,0.21616864204406738,False,10,20,
blocks,task06,"hmax,lmcut",max,True,0.2377634048461914,False,20,34,
blocks,task07,"hmax,lmcut",max,True,0.2557239532470703,False,12,29,
blocks,task08,"hmax,lmcut",max,True,0.23767924308776855,False,10,17,
blocks,task09,"hmax,lmcut",max,True,0.33345675468444824,False,32,52,
blocks,task10,"hmax,lmcut",max,True,0.299846887588501,False,22,27,
blocks,task11,"hmax,lmcut",max,True,1.268221378326416,False,32,156,
blocks,task12,"hmax,lmcut",max,True,1.354266881942749,False,34,147,
blocks,task13,"hmax,lmcut",max,True,3.170614242553711,False,42,226,
blocks,task14,"hmax,lmcut",max,True,1.6149728298187256,False,28,101,
blocks,task15,"hmax,lmcut",max,True,0.7038934230804443,False,18,32,
blocks,task16,"hmax,lmcut",max,True,8.878675699234009,False,56,530,
blocks,task17,"hmax,lmcut",max,True,1.4072134494781494,False,36,83,
blocks,task18,"hmax,lmcut",max,True,1.3211634159088135,False,44,89,
blocks,task19,"hmax,lmcut",max,True,4.272381067276001,False,56,215,
blocks,task20,"hmax,lmcut",max,True,32.37008094787598,False,76,1455,
blocks,task21,"hmax,lmcut",max,True,3.680460214614868,False,44,154,
blocks,task22,"hmax,lmcut",max,True,2.678206205368042,False,38,100,
blocks,task23,"hmax,lmcut",max,True,4.870196580886841,False,58,183,
blocks,task24,"hmax,lmcut",max,True,12.23097562789917,False,68,513,
blocks,task25,"hmax,lmcut",max,True,20.097426414489746,False,74,761,
blocks,task26,"hmax,lmcut",max,True,62.14493918418884,False,98,1489,
blocks,task27,"hmax,lmcut",max,False,300,True,,,
blocks,task28,"hmax,lmcut",max,True,36.28007388114929,False,96,917,
blocks,task29,"hmax,lmcut",max,True,22.149508237838745,False,76,499,
blocks,task30,"hmax,lmcut",max,True,71.89155626296997,False,94,1604,
blocks,task31,"hmax,lmcut",max,False,300,True,,,
blocks,task32,"hmax,lmcut",max,False,300,True,,,
blocks,task33,"hmax,lmcut",max,True,197.83756065368652,False,110,2154,
blocks,task34,"hmax,lmcut",max,False,300,True,,,
blocks,task35,"hmax,lmcut",max,True,129.9202184677124,False,158,1526,
blocks,task01,"hff,landmark",max,True,0.19202041625976562,False,10,12,
blocks,task02,"hff,landmark",max,True,0.17866754531860352,False,10,12,
blocks,task03,"hff,landmark",max,True,0.1725771427154541,False,6,8,
blocks,task04,"hff,landmark",max,True,0.1672048568725586,False,12,18,
blocks,task05,"hff,landmark",max,True,0.17834138870239258,False,14,42,
blocks,task06,"hff,landmark",max,True,0.19625592231750488,False,24,47,
blocks,task07,"hff,landmark",max,True,0.18717336654663086,False,12,29,
blocks,task08,"hff,landmark",max,True,0.19719767570495605,False,18,70,
blocks,task09,"hff,landmark",max,True,0.19437408447265625,False,32,60,
blocks,task10,"hff,landmark",max,True,0.20749449729919434,False,22,34,
blocks,task11,"hff,landmark",max,True,0.21554923057556152,False,32,77,
blocks,task12,"hff,landmark",max,True,0.2538716793060303,False,34,151,
blocks,task13,"hff,landmark",max,True,0.4612267017364502,False,34,360,
blocks,task14,"hff,landmark",max,True,0.3434758186340332,False,44,199,
blocks,task15,"hff,landmark",max,True,0.2486884593963623,False,30,71,
blocks,task16,"hff,landmark",max,True,0.7833530902862549,False,76,584,
blocks,task17,"hff,landmark",max,True,0.9085333347320557,False,64,713,
blocks,task18,"hff,landmark",max,True,0.3556551933288574,False,44,114,
blocks,task19,"hff,landmark",max,True,0.45665884017944336,False,44,113,
blocks,task20,"hff,landmark",max,True,4.324568748474121,False,80,2809,
blocks,task21,"hff,landmark",max,True,0.8732030391693115,False,56,359,
blocks,task22,"hff,landmark",max,True,0.6661827564239502,False,50,193,
blocks,task23,"hff,landmark",max,True,3.910351037979126,False,114,2342,
blocks,task24,"hff,landmark",max,True,1.4865224361419678,False,76,564,
blocks,task25,"hff,landmark",max,True,25.28840923309326,False,102,13258,
blocks,task26,"hff,landmark",max,True,1.1681065559387207,False,62,346,
blocks,task27,"hff,landmark",max,True,23.199193239212036,False,104,9813,
blocks,task28,"hff,landmark",max,True,3.51693058013916,False,104,1073,
blocks,task29,"hff,landmark",max,True,2.7647061347961426,False,76,738,
blocks,task30,"hff,landmark",max,True,2.718400239944458,False,78,620,
blocks,task31,"hff,landmark",max,True,57.20108461380005,False,154,17752,
blocks,task32,"hff,landmark",max,True,11.481744766235352,False,124,3159,
blocks,task33,"hff,landmark",max,True,11.142741441726685,False,110,2318,
blocks,task34,"hff,landmark",max,True,82.15049338340759,False,150,23892,
