domain,problem,heuristics,strategy,solved,time,timeout,plan_length,expansions,memory_kb
blocks,task01,"hff,hadd",pareto,True,0.2665286064147949,False,10,11,
blocks,task02,"hff,hadd",pareto,False,0.2955160140991211,False,,,
blocks,task03,"hff,hadd",pareto,False,0.332660436630249,False,,,
blocks,task04,"hff,hadd",pareto,False,0.6112215518951416,False,,,
blocks,task05,"hff,hadd",pareto,True,0.5398218631744385,False,14,15,
blocks,task06,"hff,hadd",pareto,False,0.3750321865081787,False,,,
blocks,task07,"hff,hadd",pareto,False,0.25453972816467285,False,,,
blocks,task08,"hff,hadd",pareto,False,1.0800395011901855,False,,,
blocks,task09,"hff,hadd",pareto,True,0.2579972743988037,False,28,29,
blocks,task10,"hff,hadd",pareto,True,0.27026844024658203,False,22,23,
blocks,task11,"hff,hadd",pareto,False,0.2855961322784424,False,,,
blocks,task12,"hff,hadd",pareto,True,0.2625434398651123,False,50,52,
blocks,task13,"hff,hadd",pareto,True,0.28816771507263184,False,46,47,
blocks,task14,"hff,hadd",pareto,True,0.26035547256469727,False,48,52,
blocks,task15,"hff,hadd",pareto,True,0.8615207672119141,False,126,127,
blocks,task16,"hff,hadd",pareto,True,0.755094051361084,False,78,89,
blocks,task17,"hff,hadd",pareto,True,0.6650347709655762,False,112,113,
blocks,task18,"hff,hadd",pareto,False,0.4350872039794922,False,,,
blocks,task19,"hff,hadd",pareto,True,0.4887654781341553,False,96,97,
blocks,task20,"hff,hadd",pareto,False,0.44951462745666504,False,,,
blocks,task21,"hff,hadd",pareto,True,0.5811219215393066,False,124,126,
blocks,task22,"hff,hadd",pareto,True,0.8542337417602539,False,118,124,
blocks,task23,"hff,hadd",pareto,True,1.2197010517120361,False,180,190,
blocks,task24,"hff,hadd",pareto,True,0.5380144119262695,False,82,84,
blocks,task25,"hff,hadd",pareto,True,3.2211780548095703,False,350,351,
blocks,task26,"hff,hadd",pareto,True,1.0596747398376465,False,124,125,
blocks,task27,"hff,hadd",pareto,True,1.5922856330871582,False,154,155,
