domain,problem,heuristics,strategy,solved,time,timeout,plan_length,expansions,memory_kb
blocks,task01,"hff,hadd",sum,True,0.17093157768249512,False,10,12,
blocks,task02,"hff,hadd",sum,True,0.17516303062438965,False,10,14,
blocks,task03,"hff,hadd",sum,True,0.1656794548034668,False,6,9,
blocks,task04,"hff,hadd",sum,True,0.18761539459228516,False,12,17,
blocks,task05,"hff,hadd",sum,True,0.17564797401428223,False,14,21,
blocks,task06,"hff,hadd",sum,True,0.2021167278289795,False,20,27,
blocks,task07,"hff,hadd",sum,True,0.25600719451904297,False,32,82,
blocks,task08,"hff,hadd",sum,True,0.21663284301757812,False,14,25,
blocks,task09,"hff,hadd",sum,True,0.21703791618347168,False,28,40,
blocks,task10,"hff,hadd",sum,True,0.21967601776123047,False,22,29,
blocks,task11,"hff,hadd",sum,True,0.27814340591430664,False,36,72,
blocks,task12,"hff,hadd",sum,True,0.4225149154663086,False,40,106,
blocks,task13,"hff,hadd",sum,True,0.3465545177459717,False,38,105,
blocks,task14,"hff,hadd",sum,True,0.4059624671936035,False,48,129,
blocks,task15,"hff,hadd",sum,True,0.32875943183898926,False,30,100,
blocks,task16,"hff,hadd",sum,True,0.7450056076049805,False,56,210,
blocks,task17,"hff,hadd",sum,True,0.8158226013183594,False,64,235,
blocks,task18,"hff,hadd",sum,True,0.5259790420532227,False,48,156,
blocks,task19,"hff,hadd",sum,True,1.387601375579834,False,48,372,
blocks,task20,"hff,hadd",sum,True,0.8662111759185791,False,68,188,
blocks,task21,"hff,hadd",sum,True,1.0822968482971191,False,88,288,
blocks,task22,"hff,hadd",sum,True,1.015639066696167,False,56,209,
blocks,task23,"hff,hadd",sum,True,2.32216215133667,False,88,503,
blocks,task24,"hff,hadd",sum,True,1.5311696529388428,False,74,271,
blocks,task25,"hff,hadd",sum,True,2.831156015396118,False,90,509,
blocks,task26,"hff,hadd",sum,True,1.7316310405731201,False,88,289,
blocks,task27,"hff,hadd",sum,True,4.844587802886963,False,94,835,
blocks,task28,"hff,hadd",sum,True,2.4211716651916504,False,74,341,
blocks,task29,"hff,hadd",sum,True,5.699424505233765,False,154,793,
blocks,task30,"hff,hadd",sum,True,10.469876766204834,False,134,1253,
blocks,task31,"hff,hadd",sum,True,6.964805603027344,False,128,835,
blocks,task32,"hff,hadd",sum,True,11.94687819480896,False,146,1321,
blocks,task33,"hff,hadd",sum,True,6.5915138721466064,False,136,586,
blocks,task34,"hff,hadd",sum,True,29.886078357696533,False,152,2444,
blocks,task35,"hff,hadd",sum,True,18.769118070602417,False,182,1251,
blocks,task01,"hmax,lmcut",sum,True,0.17228364944458008,False,6,10,
blocks,task02,"hmax,lmcut",sum,True,0.1639854907989502,False,10,11,
blocks,task03,"hmax,lmcut",sum,True,0.15110039710998535,False,6,8,
blocks,task04,"hmax,lmcut",sum,True,0.20210003852844238,False,12,15,
blocks,task05,"hmax,lmcut",sum,True,0.19505667686462402,False,10,16,
blocks,task06,"hmax,lmcut",sum,True,0.2303769588470459,False,16,30,
blocks,task07,"hmax,lmcut",sum,True,0.21701884269714355,False,14,18,
blocks,task08,"hmax,lmcut",sum,True,0.2334733009338379,False,10,15,
blocks,task09,"hmax,lmcut",sum,True,0.302182674407959,False,22,39,
blocks,task10,"hmax,lmcut",sum,True,0.29378223419189453,False,22,26,
blocks,task11,"hmax,lmcut",sum,True,0.36916470527648926,False,24,40,
blocks,task12,"hmax,lmcut",sum,True,0.36754345893859863,False,22,33,
blocks,task13,"hmax,lmcut",sum,True,0.8247866630554199,False,30,74,
blocks,task14,"hmax,lmcut",sum,True,2.5282979011535645,False,38,190,
blocks,task15,"hmax,lmcut",sum,True,0.37560272216796875,False,18,28,
blocks,task16,"hmax,lmcut",sum,True,8.962464809417725,False,52,406,
blocks,task17,"hmax,lmcut",sum,True,2.0566914081573486,False,46,101,
blocks,task18,"hmax,lmcut",sum,True,1.011653184890747,False,36,66,
blocks,task19,"hmax,lmcut",sum,True,4.560102462768555,False,42,173,
blocks,task20,"hmax,lmcut",sum,True,2.8160152435302734,False,46,122,
blocks,task21,"hmax,lmcut",sum,True,6.129693508148193,False,52,275,
blocks,task22,"hmax,lmcut",sum,True,13.709056854248047,False,56,450,
blocks,task23,"hmax,lmcut",sum,True,9.775524139404297,False,64,334,
blocks,task24,"hmax,lmcut",sum,True,3.918017625808716,False,52,114,
blocks,task25,"hmax,lmcut",sum,True,19.23726987838745,False,56,335,
blocks,task26,"hmax,lmcut",sum,True,32.13350439071655,False,60,620,
blocks,task27,"hmax,lmcut",sum,False,300,True,,,
blocks,task28,"hmax,lmcut",sum,True,89.37210988998413,False,84,1486,
blocks,task29,"hmax,lmcut",sum,True,225.61561632156372,False,64,2402,
blocks,task30,"hmax,lmcut",sum,True,141.54813408851624,False,96,1801,
blocks,task31,"hmax,lmcut",sum,True,101.64303016662598,False,104,1053,
blocks,task32,"hmax,lmcut",sum,True,124.53304481506348,False,102,1409,
blocks,task33,"hmax,lmcut",sum,True,166.7166211605072,False,114,1332,
blocks,task34,"hmax,lmcut",sum,False,300,True,,,
blocks,task35,"hmax,lmcut",sum,False,300,True,,,
blocks,task01,"hff,landmark",sum,True,0.17074251174926758,False,10,11,
blocks,task02,"hff,landmark",sum,True,0.16741514205932617,False,10,16,
blocks,task03,"hff,landmark",sum,True,0.1497173309326172,False,6,7,
blocks,task04,"hff,landmark",sum,True,0.16558599472045898,False,12,18,
blocks,task05,"hff,landmark",sum,True,0.1987748146057129,False,28,65,
blocks,task06,"hff,landmark",sum,True,0.1987895965576172,False,24,55,
blocks,task07,"hff,landmark",sum,True,0.20006012916564941,False,28,41,
blocks,task08,"hff,landmark",sum,True,0.1841578483581543,False,14,15,
blocks,task09,"hff,landmark",sum,True,0.18297624588012695,False,24,32,
blocks,task10,"hff,landmark",sum,True,0.19879698753356934,False,24,29,
blocks,task11,"hff,landmark",sum,True,0.21637344360351562,False,38,69,
blocks,task12,"hff,landmark",sum,True,0.2799069881439209,False,36,143,
blocks,task13,"hff,landmark",sum,True,0.29773449897766113,False,50,132,
blocks,task14,"hff,landmark",sum,True,0.6193745136260986,False,60,616,
blocks,task15,"hff,landmark",sum,True,0.42113518714904785,False,38,316,
blocks,task16,"hff,landmark",sum,True,0.845454216003418,False,68,626,
blocks,task17,"hff,landmark",sum,True,0.45168423652648926,False,56,209,
blocks,task18,"hff,landmark",sum,True,0.37290310859680176,False,40,98,
blocks,task19,"hff,landmark",sum,True,0.43665218353271484,False,44,92,
blocks,task20,"hff,landmark",sum,True,0.6132524013519287,False,60,183,
blocks,task21,"hff,landmark",sum,True,4.427806377410889,False,80,3375,
blocks,task22,"hff,landmark",sum,True,1.1491084098815918,False,90,536,
blocks,task23,"hff,landmark",sum,True,0.7948555946350098,False,82,341,
blocks,task24,"hff,landmark",sum,True,1.28456711769104,False,72,611,
blocks,task25,"hff,landmark",sum,True,2.0242323875427246,False,90,694,
blocks,task26,"hff,landmark",sum,True,1.5348224639892578,False,80,519,
blocks,task27,"hff,landmark",sum,True,2.193354845046997,False,82,550,
blocks,task28,"hff,landmark",sum,True,2.4545512199401855,False,104,785,
blocks,task29,"hff,landmark",sum,True,2.010810375213623,False,94,508,
blocks,task30,"hff,landmark",sum,True,26.794318914413452,False,126,10049,
blocks,task31,"hff,landmark",sum,True,13.083624124526978,False,152,3953,
blocks,task32,"hff,landmark",sum,True,4.8853302001953125,False,116,1111,
blocks,task33,"hff,landmark",sum,True,65.03778171539307,False,158,17070,
blocks,task34,"hff,landmark",sum,True,41.77833271026611,False,104,11157,
blocks,task35,"hff,landmark",sum,True,67.32954430580139,False,152,16267,
blocks,task01,"landmark,lmcut",sum,True,0.19009041786193848,False,10,11,
blocks,task02,"landmark,lmcut",sum,True,0.15985417366027832,False,10,13,
blocks,task03,"landmark,lmcut",sum,True,0.15970611572265625,False,6,9,
blocks,task04,"landmark,lmcut",sum,True,0.19672775268554688,False,12,17,
blocks,task05,"landmark,lmcut",sum,True,0.19877052307128906,False,22,32,
blocks,task06,"landmark,lmcut",sum,True,0.23258709907531738,False,20,31,
blocks,task07,"landmark,lmcut",sum,True,0.2638399600982666,False,24,34,
blocks,task08,"landmark,lmcut",sum,True,0.25083041191101074,False,20,26,
