domain,problem,heuristics,strategy,n_heuristics,solved,time,timeout,plan_length,expansions
blocks,task01,"hadd,hff,landmark",max,3,True,0.2985384464263916,False,10,
blocks,task02,"hadd,hff,landmark",max,3,True,0.19992780685424805,False,10,
blocks,task03,"hadd,hff,landmark",max,3,True,0.189652681350708,False,6,
blocks,task04,"hadd,hff,landmark",max,3,True,0.2901773452758789,False,18,
blocks,task05,"hadd,hff,landmark",max,3,True,0.3244764804840088,False,14,
blocks,task06,"hadd,hff,landmark",max,3,True,0.26639747619628906,False,20,
blocks,task07,"hadd,hff,landmark",max,3,True,0.2829861640930176,False,32,
blocks,task08,"hadd,hff,landmark",max,3,True,0.21410322189331055,False,14,
blocks,task09,"hadd,hff,landmark",max,3,True,0.22267484664916992,False,28,
blocks,task10,"hadd,hff,landmark",max,3,True,0.2387845516204834,False,22,
blocks,task11,"hadd,hff,landmark",max,3,True,0.33614468574523926,False,36,
blocks,task12,"hadd,hff,landmark",max,3,True,0.34734511375427246,False,40,
blocks,task13,"hadd,hff,landmark",max,3,True,0.45400571823120117,False,42,
blocks,task14,"hadd,hff,landmark",max,3,True,0.47426438331604004,False,44,
blocks,task15,"hadd,hff,landmark",max,3,True,0.43311405181884766,False,28,
blocks,task16,"hadd,hff,landmark",max,3,True,0.8037872314453125,False,68,
blocks,task17,"hadd,hff,landmark",max,3,True,1.412200927734375,False,60,
blocks,task18,"hadd,hff,landmark",max,3,True,2.653979778289795,False,48,
blocks,task19,"hadd,hff,landmark",max,3,True,1.9627468585968018,False,46,
blocks,task20,"hadd,hff,landmark",max,3,True,1.443002462387085,False,68,
blocks,task21,"hadd,hff,landmark",max,3,True,1.628025770187378,False,84,
blocks,task22,"hadd,hff,landmark",max,3,True,1.7876734733581543,False,54,
blocks,task23,"hadd,hff,landmark",max,3,True,1.846428394317627,False,78,
blocks,task24,"hadd,hff,landmark",max,3,True,2.5524723529815674,False,62,
blocks,task25,"hadd,hff,landmark",max,3,True,3.411937713623047,False,98,
blocks,task26,"hadd,hff,landmark",max,3,True,2.6230814456939697,False,82,
blocks,task27,"hadd,hff,landmark",max,3,True,5.557959318161011,False,90,
blocks,task28,"hadd,hff,landmark",max,3,True,3.5329465866088867,False,110,
blocks,task29,"hadd,hff,landmark",max,3,True,6.795253038406372,False,154,
blocks,task30,"hadd,hff,landmark",max,3,True,8.205163955688477,False,116,
blocks,task31,"hadd,hff,landmark",max,3,True,20.063939809799194,False,188,
blocks,task32,"hadd,hff,landmark",max,3,True,9.74256420135498,False,118,
blocks,task33,"hadd,hff,landmark",max,3,True,8.78075885772705,False,96,
blocks,task34,"hadd,hff,landmark",max,3,True,19.735478162765503,False,138,
blocks,task35,"hadd,hff,landmark",max,3,True,19.93566346168518,False,134,
blocks,task01,"hadd,hff,landmark",alternation,3,True,0.19115686416625977,False,6,
blocks,task02,"hadd,hff,landmark",alternation,3,True,0.22027349472045898,False,10,
blocks,task03,"hadd,hff,landmark",alternation,3,True,0.20377898216247559,False,6,
blocks,task04,"hadd,hff,landmark",alternation,3,True,0.24094629287719727,False,12,
blocks,task05,"hadd,hff,landmark",alternation,3,True,0.2516286373138428,False,22,
blocks,task06,"hadd,hff,landmark",alternation,3,True,0.28122949600219727,False,24,
blocks,task07,"hadd,hff,landmark",alternation,3,True,0.1933131217956543,False,18,
blocks,task08,"hadd,hff,landmark",alternation,3,True,0.25795841217041016,False,10,
blocks,task09,"hadd,hff,landmark",alternation,3,True,0.28827476501464844,False,28,
blocks,task10,"hadd,hff,landmark",alternation,3,True,0.29573512077331543,False,22,
blocks,task11,"hadd,hff,landmark",alternation,3,True,0.3888113498687744,False,34,
blocks,task12,"hadd,hff,landmark",alternation,3,True,0.525385856628418,False,44,
blocks,task13,"hadd,hff,landmark",alternation,3,True,0.5053839683532715,False,34,
blocks,task14,"hadd,hff,landmark",alternation,3,True,0.6705255508422852,False,68,
